school_name,school_code,county_code,county_name,category,group,enrollment,year
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,Hispanic,46,2025
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,White,16,2025
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,Am.Ind/AK,*,2025
Choptank Elementary School,0716,09,Dorchester County,Race/Ethnicity,2+,25,2025
Choptank Elementary School,0716,09,Dorchester County,Gender,All Students,319,2025
Choptank Elementary School,0716,09,Dorchester County,Gender,Male,159,2025
Choptank Elementary School,0716,09,Dorchester County,Gender,Female,160,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,All Students,319,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Pre-Kindergarten,28,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Kindergarten,39,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Grade 1,48,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Grade 2,43,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Grade 3,56,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Grade 4,45,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Grade 5,60,2025
Choptank Elementary School,0716,09,Dorchester County,Grade,Elementary,252,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,All Students,391,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,African Am.,145,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,Hispanic,48,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,White,149,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,HI/Pac.Isl.,*,2025
Hurlock Elementary School,1503,09,Dorchester County,Race/Ethnicity,2+,45,2025
Hurlock Elementary School,1503,09,Dorchester County,Gender,All Students,391,2025
Hurlock Elementary School,1503,09,Dorchester County,Gender,Male,205,2025
Hurlock Elementary School,1503,09,Dorchester County,Gender,Female,186,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,All Students,391,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Pre-Kindergarten,56,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Kindergarten,55,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Grade 1,52,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Grade 2,42,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Grade 3,70,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Grade 4,53,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Grade 5,63,2025
Hurlock Elementary School,1503,09,Dorchester County,Grade,Elementary,280,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,All Students,483,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,African Am.,183,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,Hispanic,160,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,White,97,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,Am.Ind/AK,*,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,HI/Pac.Isl.,*,2025
Maple Elementary School,0711,09,Dorchester County,Race/Ethnicity,2+,38,2025
Maple Elementary School,0711,09,Dorchester County,Gender,All Students,483,2025
Maple Elementary School,0711,09,Dorchester County,Gender,Male,242,2025
Maple Elementary School,0711,09,Dorchester County,Gender,Female,241,2025
Maple Elementary School,0711,09,Dorchester County,Grade,All Students,483,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Pre-Kindergarten,90,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Kindergarten,60,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Grade 1,81,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Grade 2,63,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Grade 3,67,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Grade 4,64,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Grade 5,58,2025
Maple Elementary School,0711,09,Dorchester County,Grade,Elementary,333,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,All Students,393,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,African Am.,234,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,Hispanic,50,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,White,74,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Race/Ethnicity,2+,33,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Gender,All Students,393,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Gender,Male,184,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Gender,Female,209,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,All Students,393,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Pre-Kindergarten,81,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Kindergarten,50,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Grade 1,53,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Grade 2,50,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Grade 3,55,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Grade 4,57,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Grade 5,47,2025
Sandy Hill Elementary School,0710,09,Dorchester County,Grade,Elementary,262,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,All Students,183,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,African Am.,20,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,Hispanic,17,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,White,127,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,Am.Ind/AK,*,2025
Vienna Elementary School,0302,09,Dorchester County,Race/Ethnicity,2+,18,2025
Vienna Elementary School,0302,09,Dorchester County,Gender,All Students,183,2025
Vienna Elementary School,0302,09,Dorchester County,Gender,Male,94,2025
Vienna Elementary School,0302,09,Dorchester County,Gender,Female,89,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,All Students,183,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Pre-Kindergarten,31,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Kindergarten,18,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Grade 1,33,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Grade 2,24,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Grade 3,27,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Grade 4,21,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Grade 5,29,2025
Vienna Elementary School,0302,09,Dorchester County,Grade,Elementary,134,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,All Students,346,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,Asian,*,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,African Am.,23,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,Hispanic,17,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,White,283,2025
Warwick Elementary School,0205,09,Dorchester County,Race/Ethnicity,2+,22,2025
Warwick Elementary School,0205,09,Dorchester County,Gender,All Students,346,2025
Warwick Elementary School,0205,09,Dorchester County,Gender,Male,185,2025
Warwick Elementary School,0205,09,Dorchester County,Gender,Female,161,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,All Students,346,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Pre-Kindergarten,25,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Kindergarten,58,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Grade 1,49,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Grade 2,47,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Grade 3,63,2025
Warwick Elementary School,0205,09,Dorchester County,Grade,Grade 4,58,2025
